boys_name,last_name,street_address,town,zip ,math_score,ela_score,total_score,Column1,choice_1,choice_2,choice_3,choice_4
Alexis,Dillon,626 Columbus Road,Central Delta,72392,366,204,570,,Central Ridge Senior,North Bay College,East Ocean Secondary,Southern Ocean High
Grayson,Robles,617 West Allis Drive,Northern River,72408,354,216,570,,Western Ocean Secondary,Central Ridge Senior,South Ocean High,East Bayou High
Ayaan,Blackburn,382 Hempstead Place,East River,72378,350,220,570,,Main River College,East Valley High,Central-North View High,Southern Terrace Senior
Branden,Cain,130 Billings Court,South Delta,72362,346,224,570,,Southern Bay College,Northern Valley Senior,Northern Terrace High,South Valley Senior
Camryn,Pace,342 Seaside Court,South Bay,72364,318,252,570,,Eastern Ocean Secondary,West Ocean Senior,East Terrace Senior,East Plateau College
Juan,Bray,218 Apple Valley Boulevard,East Ocean,72381,282,288,570,,North Terrace High,West Ocean Senior,East River Senior,Southern Plateau Secondary
Lucas,Castro,269 Auburn Lane,Central View,72385,280,290,570,,Northern Terrace High,Main Delta Senior,Central Terrace Junior-Sec,Northern Valley Senior
Sean,Gibbs,857 Burlington Lane,Eastern Terrace,72437,280,290,570,,Central Terrace Junior-Sec,West Bayou Senior,South River High,Main Ridge College
Ari,Chapman,544 Carbondale Court,West Ridge,72369,256,314,570,,Main Terrace Senior,Eastern Ocean Secondary,Southern Plateau Secondary,East Plateau College
Jax,Brennan,452 Vista Boulevard,West Terrace,72367,208,362,570,,East River Senior,Eastern View Composite,South Delta Secondary,Eastern Ocean Secondary
Sean,Diaz,625 Madera Court,West Plateau,72370,201,369,570,,South View Composite,West Valley High,East River Senior,Northern Bayou High
Emiliano,Davila,128 Bolingbrook Street,Western Valley,72426,346,223,569,,East Terrace Senior,Main Ridge College,Western Delta Secondary,Northern Bay Senior
Caso,Peterson,727 Paramount Lane,West Valley,72366,322,247,569,,East River Senior,Northern Bay Senior,Main Terrace Secondary,East-Central View Composite
Chad,Palmer,576 Sugar Land Drive,Central Delta,72392,318,251,569,,South Ocean High,Main Terrace College,East Terrace Senior,Western Plateau Secondary
Harrison,Rogers,731 Norwalk Road,Northern Bayou,72413,303,266,569,,South Plateau Secondary,South View Composite,North Plateau Secondary,Western Delta Junior-Sec
Kamari,Browning,16 San Marcos Avenue,Western River,72428,262,307,569,,Western Plateau Secondary,Northern Valley Senior,South Ridge High,East River Senior
Luka,Bush,640 San Leandro Boulevard,Southern Ridge,72419,259,310,569,,Southern Plateau Secondary,Western Delta Secondary,Eastern View High,North Bay High
Orlando,Reed,288 Anniston Court,West Bayou,72373,240,329,569,,South Delta Secondary,North Bay High,West Ocean Secondary,East Bayou High
Skylar,Wheeler,441 Johns Creek Court,Main Delta,72402,225,344,569,,Eastern Bayou Junior-Sec,Central Terrace Junior-Sec,West Bayou Senior,North Terrace High
Raul,Conrad,199 Lebanon Boulevard,North View,72345,213,356,569,,Main Terrace Senior,Western Bayou High,Eastern View High,Central Bay Secondary
Aditya,Franklin,556 Rancho Cordova Boulevard,Eastern Bay,72444,213,356,569,,Central Ridge Composite,Northern Bay Senior,Western Bayou High,Main Terrace Senior
Isaac,Barnett,879 Shoreline Drive,North View,72345,208,361,569,,Central Plateau Secondary,West Bayou Senior,Western Plateau Secondary,Central Ridge Composite
Keagan,Blackburn,94 Yorba Linda Court,North Terrace,72347,337,231,568,,Eastern Ocean Secondary,Northern Ocean Secondary,Eastern View Composite,Western Ridge High
Finley,Hodge,776 Paramount Boulevard,Western Ocean,72431,272,296,568,,Central-North View High,Eastern Terrace Secondary,South Delta Secondary,Northern Bay Senior
Jensen,Orr,845 Alexandria Road,West Plateau,72370,254,314,568,,Southern Ridge Secondary,Southern Plateau Secondary,Southern Ocean High,South Ocean High
Jayden,Hardin,484 Port Huron Court,Southern Delta,72422,204,364,568,,Main Terrace Secondary,Central Plateau Secondary,Main Delta Senior,Main River College
Grant,Everett,771 Compton Drive,Northern Ridge,72409,200,368,568,,East Valley Senior,Eastern Valley Junior-Sec,Western Ridge High,North Plateau Secondary
Leandro,Liu,621 Carmel Drive,Central Valley,72386,360,207,567,,North Bay High,Western Ocean Secondary,West Valley High,East Plateau College
Branden,Santiago,704 South Whittier Court,Eastern Bay,72444,357,210,567,,East Terrace Senior,East Valley High,Main Terrace Senior,Main Valley Senior
Maurice,Haas,353 Kirkland Street,North Terrace,72347,316,251,567,,Main Terrace Secondary,West Bayou Senior,East Plateau College,South Ocean High
Ben,Davis,573 Lakewood Street,South Ridge,72359,315,252,567,,Main Valley Senior,North Terrace High,Main Terrace Secondary,East Ocean Senior
Makai,Yang,895 Sheboygan Drive,Main Bayou,72403,298,269,567,,Main Delta Composite,Northern Terrace High,Western Delta Secondary,Main Plateau Composite
Marc,Solomon,124 Newark Avenue,Western Terrace,72427,295,272,567,,Northern View Junior-Sec,Main Plateau Composite,East Valley High,Southern Ridge Secondary
Konner,Crane,683 Kingsport Court,East Ocean,72381,207,360,567,,Eastern Valley Junior-Sec,East Bayou High,Main Terrace College,Northern Valley Senior
Grant,Griffin,748 National City Place,Western Bay,72434,355,211,566,,North Bayou High,Southern Ridge Secondary,Southern Bayou Composite,Main Plateau College
Branden,Conley,695 Parma Street,South Delta,72362,279,287,566,,Northern Bay College,East Bayou College,Central-North View High,Eastern Plateau Senior
Barrett,Mora,666 Valdosta Street,Central Terrace,72387,268,298,566,,East Valley High,Southern Bayou Composite,Eastern Plateau Senior,West Ocean Senior
Emiliano,Bowen,762 Oshkosh Lane,West Bay,72374,260,306,566,,Main Plateau Composite,East Plateau College,Northern River Senior,West Bayou Senior
Grayson,Bailey,968 San Ramon Place,Northern Plateau,72410,226,340,566,,Northern River Senior,Eastern River Secondary,Western Bayou High,Main Plateau Composite
Jamie,Hinton,729 Rialto Road,Southern Terrace,72417,341,224,565,,West Ocean Secondary,Main Terrace Senior,Northern Bay Senior,North Plateau Secondary
Stephen,Mckee,873 Sparks Lane,South Ocean,72361,327,238,565,,Western Ridge High,Main Terrace Secondary,North Bay High,South River High
Graham,Orr,890 Carmichael Lane,Eastern Ocean,72441,312,253,565,,Southern Bay College,Northern River Senior,Western Delta Junior-Sec,Central Bay Secondary
Konner,Wolfe,209 Sugar Land Boulevard,Main Plateau,72400,309,256,565,,Eastern View Composite,East River Senior,Main Delta Senior,Main Plateau College
Bobby,Davila,766 Slidell Avenue,North View,72345,218,347,565,,West Ocean Secondary,Main Delta Composite,Eastern River Secondary,Northern Bay College
Trenton,Shields,309 Flagstaff Boulevard,West Valley,72366,206,359,565,,Northern Ocean Secondary,Eastern View High,South Plateau Secondary,Central Bay Secondary
Jensen,Rogers,401 Valdosta Avenue,Eastern River,72438,364,200,564,,Southern Bayou Composite,Main River College,Western Plateau Secondary,Eastern View High
Bailey,Stuart,867 Fishers Drive,Main Delta,72402,314,250,564,,Southern Bay College,East Ocean Senior,Main Plateau Composite,Eastern View High
Ruben,Gilmore,420 Bentonville Place,South Terrace,72357,286,278,564,,East Valley Senior,Main Terrace College,Southern Ocean High,Eastern Plateau Senior
Karter,Richards,82 The Woodlands Drive,West Delta,72372,270,294,564,,Central Ridge Composite,Main Valley Senior,East Bayou High,Eastern Terrace Secondary
Kristian,Reeves,57 Hammond Place,Main View,72395,269,295,564,,Northern Bay College,Western Plateau Secondary,Northern Bay Senior,South Delta Secondary
Ernest,Vincent,906 Pawtucket Lane,Northern Delta,72412,242,322,564,,South Plateau Secondary,Central Plateau Secondary,Eastern Terrace Secondary,Central Terrace Junior-Sec
Mathias,Cannon,784 Paramount Court,Central Terrace,72387,216,348,564,,Eastern View Composite,North Ridge High,Western Ridge High,Northern Valley Senior
Lorenzo,Huerta,326 South Fulton Boulevard,Main Valley,72396,200,364,564,,Eastern Terrace Secondary,North Bay College,South View Composite,Central Terrace Secondary
Bryan,Gallagher,852 O'Fallon Court,Main Bay,72404,310,253,563,,North Bay High,Main Ridge College,Main Delta Composite,Western Ridge High
Caiden,Burton,232 Dublin Court,Western River,72428,268,295,563,,Main Bayou College,Main Ridge College,Southern Bay College,Northern Valley Senior
Alden,Hale,966 Arvada Drive,East Bayou,72383,234,329,563,,North-West Ocean Senior,Northern Bay College,East Bayou High,Western Ridge High
Ernest,Santiago,245 Coon Rapids Drive,Western Bayou,72433,328,234,562,,Western Bayou High,Main Terrace Secondary,South Plateau Secondary,Eastern Terrace Secondary
Ari,Webb,626 Sunrise Lane,Northern Plateau,72410,302,260,562,,North-West Ocean Senior,Central Bay Secondary,Main Bayou College,Eastern View High
Orlando,Levy,955 Dearborn Heights Drive,West Bayou,72373,287,275,562,,North-West Ocean Senior,Western Ridge High,West Ocean Senior,Northern View Junior-Sec
Johnathan,Dunlap,652 Port Huron Lane,Main River,72398,272,290,562,,Western Delta Junior-Sec,East Ocean Secondary,Main Plateau College,North-West Ocean Senior
Deandre,Bolton,686 Caldwell Lane,Main Plateau,72400,265,297,562,,West Bayou Senior,South Plateau Secondary,East Plateau College,Eastern Valley Junior-Sec
Moses,Carroll,597 Dearborn Boulevard,Southern Ocean,72421,250,312,562,,Eastern Bayou Secondary,East Ocean Secondary,North Plateau Secondary,East Valley Senior
Lorenzo,Meza,110 Suffolk Avenue,West Ocean,72371,249,313,562,,Northern View Junior-Sec,Western Ridge High,Eastern Ocean Secondary,Central Plateau Secondary
Mike,Maxwell,176 Palo Alto Lane,East Valley,72376,352,209,561,,North Terrace High,Eastern View High,South River Junior-Sec,Northern View Junior-Sec
Jamie,Ellison,917 Bellevue Drive,North Bay,72354,347,214,561,,Central Ridge Composite,North Ridge High,Southern Bayou Composite,West Bayou Senior
Mathias,Sparks,463 Quincy Road,South Ridge,72359,323,238,561,,North Terrace High,Western Plateau Secondary,East Terrace Senior,Southern Bay College
Ishaan,Jensen,647 Pinellas Park Avenue,Central Ridge,72389,315,246,561,,Eastern Terrace Secondary,Northern River Senior,Main Delta Senior,Main River College
Denzel,Cox,620 Minnetonka Street,Western Bay,72434,302,259,561,,South Valley Senior,North Bay College,Central Bay Secondary,South River High
Davion,Young,335 Iowa City Street,West Delta,72372,301,260,561,,East Bayou High,Main Terrace College,North Ridge High,North-West Ocean Senior
Ruben,Atkins,224 Renton Avenue,West View,72365,260,301,561,,North Valley Junior-Sec,Western Plateau Secondary,Central Bay Secondary,East Ocean Senior
Johnathon,Bray,432 Cartersville Lane,Western Bay,72434,229,332,561,,Northern Delta Senior,Southern Terrace Senior,Main Plateau College,Western Delta Junior-Sec
Giovani,Jackson,197 Leander Drive,South View,72355,344,216,560,,Southern Ridge Secondary,Western Plateau Secondary,West Bayou Senior,East Valley Senior
Graham,Lutz,667 Montebello Street,Eastern Terrace,72437,342,218,560,,Main Plateau College,Northern Delta Senior,Central-North View High,Main Terrace Secondary
Lucas,Liu,851 Wyoming Lane,South Plateau,72360,339,221,560,,Main Bayou College,Northern Delta Senior,Main Terrace Senior,Central-North View High
Ruben,Copeland,600 Mountain View Lane,Central Terrace,72387,333,227,560,,Eastern View High,East Bayou High,Central Ridge Senior,Southern Ridge Secondary
Jerome,Fernandez,849 Hanover Drive,Northern Terrace,72407,329,231,560,,Northern Bay Senior,Central Bay Secondary,Eastern Ocean College,West Bayou Senior
Grant,Moreno,95 Dothan Lane,Main Bayou,72403,329,231,560,,North Bay High,Western Plateau Secondary,Southern Ridge Secondary,Eastern Plateau Junior-Sec
Ruben,Lozano,363 Paramount Boulevard,East Terrace,72377,304,256,560,,Northern Valley Senior,Northern Delta Senior,South Ridge High,Eastern Bayou Junior-Sec
Alfred,Barry,647 Novato Street,West Delta,72372,274,286,560,,Main Delta Composite,East-Central View Composite,Main Terrace Senior,Eastern River Secondary
Sonny,Banks,901 Johnstown Lane,Main Ocean,72401,266,294,560,,Main Ridge College,East River Senior,East-Central View Composite,East Ocean Secondary
Mike,Bryan,188 Rancho Cordova Place,Central View,72385,228,332,560,,North Ridge High,East Terrace Senior,East Bayou College,Southern Terrace Senior
Gauge,Grimes,122 Corvallis Lane,West Terrace,72367,202,358,560,,Main Ridge College,Northern Terrace High,Eastern View High,Central Terrace Junior-Sec
Kody,Humphrey,543 South San Francisco Avenue,West Terrace,72367,200,360,560,,Northern Bay College,Northern Terrace High,Northern Valley Senior,South Ocean High
Jamie,Liu,404 Dubuque Road,Western Ridge,72429,318,241,559,,East Bayou College,West Valley High,South Ocean High,Central Terrace Junior-Sec
Ernest,Dillon,835 Brooklyn Park Avenue,Northern Bayou,72413,300,259,559,,South Ocean High,East Terrace Senior,South Valley Senior,Central Bay Secondary
Jerome,Knox,500 Fountainebleau Road,North Terrace,72347,272,287,559,,East Ocean Secondary,Northern River Senior,Western Ocean Secondary,Main Terrace College
Edwin,Finley,172 Kenner Place,Northern River,72408,236,323,559,,East Plateau College,Central Plateau Secondary,East Ocean Senior,South Ocean High
Harrison,Strickland,3 Ithaca Drive,West Terrace,72367,349,209,558,,East Valley Senior,Main River College,Main Delta Composite,Eastern View High
Enzo,Jacobson,841 Bristol Avenue,North Valley,72346,337,221,558,,Central Plateau Secondary,Western Bayou High,East Ocean Secondary,West Bayou Senior
Alfred,Berger,462 Lehigh Acres Avenue,Northern Ridge,72409,317,241,558,,East Ocean Secondary,North Plateau Secondary,Main Terrace Senior,Western Delta Secondary
Raul,Cain,949 Brentwood Boulevard,South Bayou,72363,314,244,558,,East Ocean Secondary,Western Delta Junior-Sec,Main Valley Senior,Main River College
Harrison,Newman,23 Delray Beach Drive,Southern Valley,72416,302,256,558,,Western Bayou High,West Bayou Senior,Northern Bayou High,Northern Valley Senior
Kevin,Mcintyre,999 Burlington Boulevard,Southern Ridge,72419,277,281,558,,Southern Bay College,West Ocean Senior,South River Junior-Sec,North Valley Junior-Sec
Skylar,Ellison,87 Daytona Beach Boulevard,Main Terrace,72397,215,343,558,,East Valley Senior,Western Ocean Secondary,Northern Valley Senior,Northern Bay College
Connor,Patrick,376 O'Fallon Drive,North Bay,72354,206,352,558,,Main Terrace Senior,Southern Terrace Senior,Western Delta Secondary,Eastern Valley Junior-Sec
Sam,Solomon,482 Federal Way Drive,East Plateau,72380,204,354,558,,East Ocean Senior,Southern Bay College,Central Ridge Senior,Main Terrace Senior
Devin,Long,978 Chino Court,Western Delta,72432,349,208,557,,Central Ridge Composite,Eastern Plateau Junior-Sec,Main River College,Central Terrace Junior-Sec
Parker,Diaz,982 Jurupa Valley Road,Western Ridge,72429,313,244,557,,West Bayou Senior,West Valley High,North Ridge High,South Delta Secondary
Davion,Compton,132 Lewiston Boulevard,South Plateau,72360,312,245,557,,South Ocean High,Main Delta Senior,West Bayou Senior,Northern View Junior-Sec
Leonidas,Stanley,509 Tinley Park Road,Southern Terrace,72417,307,250,557,,Central Bay Secondary,West Bayou Senior,Northern River Senior,North Terrace High
Grayson,Turner,215 Norwalk Lane,Eastern Valley,72436,292,265,557,,North Valley Junior-Sec,Western Plateau Secondary,Main Plateau Composite,South River High
Graham,Diaz,813 Mount Vernon Place,South Ridge,72359,285,272,557,,Northern Bay Senior,South River Junior-Sec,East Ocean Senior,East-Central View Composite
Denzel,Murillo,156 Port Charlotte Court,Main Valley,72396,283,274,557,,North Ridge High,East Bayou College,Eastern Terrace Secondary,North Bayou High
Kingston,Burnett,398 Kankakee Lane,North River,72348,257,300,557,,East Ocean Senior,Western Bayou High,Northern Bay Senior,East-Central View Composite
Dallas,Harper,348 Parkersburg Drive,North View,72345,228,329,557,,Southern Bay College,Main Terrace Senior,West Ocean Secondary,Northern Bayou High
Carl,Bush,108 White Plains Boulevard,South Valley,72356,208,349,557,,North Bayou High,Central Bay Secondary,Northern River Senior,Eastern Valley Junior-Sec
Konner,Knox,465 Michigan City Road,South Delta,72362,353,203,556,,East Bayou High,North Plateau Secondary,Northern Terrace High,Main Terrace Senior
Malcolm,Russell,622 West Hartford Avenue,Eastern Delta,72442,353,203,556,,Eastern View High,East Valley High,Eastern Ocean Secondary,Southern Bayou Composite
Finley,Ochoa,361 Salisbury Boulevard,Eastern Ridge,72439,338,218,556,,East River Senior,South View Composite,North Bay High,Main Ridge College
Dwayne,Mack,40 Pasco Road,Southern Bay,72424,315,241,556,,West Valley High,Main Plateau College,Central-North View High,Central Plateau Secondary
Karter,Morrow,306 Parma Court,Southern Ridge,72419,280,276,556,,Northern Bayou High,Central Plateau Secondary,Main River College,Southern Ridge Secondary
Giovani,Holden,801 West Palm Beach Street,Western Ocean,72431,216,340,556,,Western Plateau Secondary,Western Ridge High,Central Ridge Composite,East Bayou High
Holden,Guerrero,446 Sebring Place,Main Ocean,72401,331,224,555,,Eastern Bayou Junior-Sec,Main Delta Composite,Western Ridge High,Central Plateau Secondary
Ayaan,Gay,687 Hillsboro Street,Western Valley,72426,299,256,555,,South Plateau Secondary,East Bayou College,East Valley High,Eastern View Composite
Brenden,Strickland,714 West Haven Drive,Western Plateau,72430,297,258,555,,East Plateau College,Northern Ocean Secondary,Central Ridge Composite,Northern Bay College
Bobby,Hughes,187 Chino Place,Central View,72385,289,266,555,,South View Composite,North Bayou High,Northern Delta Senior,Central Ridge Senior
Harrison,Mack,468 North Miami Place,East View,72375,257,298,555,,East River Senior,East Bayou High,Eastern View High,Eastern Terrace Secondary
Caso,Richard,469 North Miami Boulevard,Main Delta,72402,243,312,555,,West Ocean Senior,North Bay High,Main Delta Senior,West Valley High
Terry,Garza,248 Bolingbrook Place,West Bay,72374,235,320,555,,Northern Ocean Secondary,North Terrace High,Eastern View High,East Valley Senior
Blake,Greene,987 Port Charlotte Court,Northern View,72405,229,326,555,,Northern Ocean Secondary,Main Plateau Composite,Western Delta Secondary,Western Bayou High
Chad,Robles,880 Westminster Drive,Central Bayou,72393,217,338,555,,Main Plateau Composite,South View Composite,Southern Ocean High,Western Delta Secondary
Leo,Jackson,335 Folsom Boulevard,West Delta,72372,212,343,555,,Western Delta Junior-Sec,Northern Bay College,Main Valley Senior,East Ocean Secondary
Terry,Marquez,215 Monroe Lane,East Plateau,72380,347,207,554,,Main Delta Composite,Main Plateau College,Central Ridge Composite,Northern Delta Senior
Jamie,Molina,749 Harrisonburg Place,East Ocean,72381,344,210,554,,Eastern Ocean College,Main Delta Senior,North Valley Junior-Sec,West Ocean Senior
Carlo,Schultz,994 Normal Lane,West Plateau,72370,313,241,554,,Main Terrace Senior,Central Plateau Secondary,Northern Terrace High,North Bay High
Braiden,Bush,281 Hoover Avenue,Western Terrace,72427,311,243,554,,East-Central View Composite,Eastern Ocean College,South Ocean High,Eastern View Composite
Kenny,Bailey,688 Weymouth Town Street,Northern Delta,72412,308,246,554,,Main Terrace College,Southern Bayou Composite,East River Senior,Northern Delta Senior
Ruben,Cowan,18 State College Place,West View,72365,304,250,554,,South River High,North Bayou High,Eastern Ocean Secondary,East Valley High
Harrison,Oneill,649 Encinitas Boulevard,Eastern River,72438,285,269,554,,Eastern Bayou Junior-Sec,East Plateau College,North Terrace High,North Bayou High
Gregory,Morrow,459 El Centro Place,Eastern Valley,72436,279,275,554,,Main Delta Composite,East Ocean Secondary,North Terrace High,Central Terrace Junior-Sec
Marcelo,Campos,492 Laguna Niguel Drive,North Plateau,72350,279,275,554,,Southern Bay College,East Ocean Secondary,East River Senior,Eastern Plateau Junior-Sec
Anton,Bautista,825 Margate Place,Southern Bay,72424,261,293,554,,Eastern Plateau Senior,South Ridge High,North Ridge High,Central Terrace Secondary
Keagan,Hanna,862 Ponce Road,Central River,72388,221,333,554,,East Valley Senior,South Valley Senior,Eastern Valley Junior-Sec,Central Ridge Composite
Deven,Mora,17 Shoreline Road,North Valley,72346,323,230,553,,Western Delta Secondary,East Ocean Senior,East Plateau College,Main Delta Senior
Peter,Brown,548 Huntington Park Street,Southern Ridge,72419,299,254,553,,North Ridge High,Main Ridge College,Western Delta Secondary,Western Bayou High
Dayton,Yang,218 Rocklin Drive,East Ocean,72381,297,256,553,,West Ocean Secondary,Northern Bay Senior,North-West Ocean Senior,South Valley Senior
Anton,Cox,597 Chino Road,Central Ridge,72389,283,270,553,,Southern Ocean High,North Bayou High,Main Bayou College,Main Terrace Senior
Kingston,Levine,992 Chino Street,Central Bayou,72393,275,278,553,,North Bayou High,East Bayou College,Central Ridge Senior,Central Plateau Secondary
Allen,Molina,634 Davis Lane,Northern Delta,72412,248,305,553,,Southern Plateau Secondary,Eastern Bayou Secondary,Eastern Terrace Secondary,South Plateau Secondary
Adonis,Livingston,141 Framingham Road,East Valley,72376,244,309,553,,Eastern Plateau Senior,Western Ridge High,Eastern Bayou Junior-Sec,South View Composite
Leo,Booth,705 Warwick Boulevard,Northern View,72405,204,349,553,,North-West Ocean Senior,Central Ridge Senior,Eastern Bayou Junior-Sec,East Valley High
Ricardo,Freeman,729 Berwyn Boulevard,South Plateau,72360,351,201,552,,West Valley High,East Plateau College,Northern Valley Senior,Eastern Ocean Secondary
Sean,Mcmahon,251 Brentwood Road,West Terrace,72367,350,202,552,,Southern Bayou Composite,Main Bayou College,Main Delta Senior,Eastern Bayou Junior-Sec
Andrew,Moran,69 Iowa City Boulevard,Southern Delta,72422,343,209,552,,Northern View Junior-Sec,Southern Terrace Senior,Central Terrace Secondary,South Valley Senior
Arnav,Garner,84 Goldsboro Place,Southern Delta,72422,338,214,552,,Central Ridge Senior,East Bayou College,Southern Bay College,Eastern Plateau Junior-Sec
Maddox,Russell,558 Bloomington Court,East Bayou,72383,308,244,552,,Eastern Ocean Secondary,Southern Terrace Senior,Eastern View High,East Plateau College
Easton,Gay,369 Elizabeth Boulevard,Central Ridge,72389,301,251,552,,South View Composite,Central Bay Secondary,Eastern View Composite,Central Terrace Secondary
Kenny,Osborne,476 Casa Grande Street,North Bayou,72353,282,270,552,,Main Delta Senior,Eastern Ocean Secondary,South Ocean High,Eastern Bayou Secondary
Cael,Pineda,313 Riverview Lane,Central Plateau,72390,260,292,552,,Western Ridge High,Northern Delta Senior,East River Senior,North Plateau Secondary
Chad,Pope,889 Novi Road,Central Terrace,72387,249,303,552,,East-Central View Composite,Eastern Valley Junior-Sec,Main River College,Eastern Bayou Secondary
Ari,Moreno,104 Smyrna Road,Main Ocean,72401,328,223,551,,Eastern Bayou Secondary,East Ocean Secondary,Main Terrace College,Main Ridge College
Bobby,Andersen,940 Benton Harbor Road,Southern Valley,72416,295,256,551,,South Ocean High,South River High,Southern Terrace Senior,Northern Bayou High
Ruben,Reed,744 Pottstown Drive,West Delta,72372,245,306,551,,East Valley High,Northern View Junior-Sec,Main River College,Western Ridge High
Leo,Young,565 Millcreek Court,Western River,72428,230,321,551,,Eastern View Composite,Central Terrace Secondary,Eastern Ocean Secondary,South Plateau Secondary
Adam,Hanna,668 Temple Drive,Western Ocean,72431,225,326,551,,Western Delta Junior-Sec,North Bay College,Eastern Ocean Secondary,East Plateau College
Anton,Cline,74 Parma Drive,South River,72358,318,232,550,,Main Plateau Composite,East Ocean Senior,Central Terrace Junior-Sec,Southern Bay College
Dario,Richard,239 Richmond Avenue,West Ocean,72371,301,249,550,,Northern Bay Senior,Eastern Plateau Junior-Sec,Northern River Senior,South Ocean High
Blake,Byrd,261 Cathedral City Lane,Central Plateau,72390,298,252,550,,Central Terrace Junior-Sec,Central Plateau Secondary,West Ocean Senior,West Bayou Senior
Kristian,Vang,358 Porterville Avenue,South Ocean,72361,276,274,550,,Central Terrace Junior-Sec,Eastern Bayou Secondary,Eastern Plateau Senior,South View Composite
Branden,Ochoa,296 Livermore Drive,Western Valley,72426,270,280,550,,Eastern Valley Junior-Sec,Central Ridge Composite,Northern Valley Senior,East Valley Senior
Todd,Carr,954 Weston Court,Main Terrace,72397,268,282,550,,Main Delta Senior,East River Senior,Southern Terrace Senior,Northern Terrace High
Alexis,Pennington,875 Caldwell Street,Northern Ridge,72409,260,290,550,,Western Delta Secondary,Western Ocean Secondary,Western Bayou High,Northern Bayou High
Connor,Franklin,856 Noblesville Place,Northern Bay,72414,258,292,550,,Central Terrace Secondary,Eastern Bayou Secondary,Northern Delta Senior,Central Plateau Secondary
Ari,George,243 North Richland Hills Boulevard,Western Terrace,72427,238,312,550,,Western Ocean Secondary,Main Terrace Secondary,Northern Bay College,Southern Terrace Senior
Ben,Valencia,914 Hazleton Road,North View,72345,235,315,550,,North Bay College,East Valley Senior,Eastern Valley Junior-Sec,Central Ridge Composite
Devin,Waters,783 Mount Pleasant Street,Southern Bayou,72423,224,326,550,,Main Plateau College,Western Ridge High,Northern Bay Senior,Main Plateau Composite
Darwin,Osborne,734 Caldwell Drive,Central Delta,72392,219,331,550,,Central-North View High,Central Bay Secondary,North Bayou High,Main Terrace College
Adonis,Yates,334 San Marcos Street,Southern Plateau,72420,217,333,550,,Western Plateau Secondary,Main Delta Senior,Eastern View High,Main Bayou College
Devin,Bray,79 San Leandro Court,North Ocean,72351,213,337,550,,Central Terrace Secondary,West Ocean Senior,North-West Ocean Senior,Main Terrace Senior
Deven,Baldwin,829 Bowling Green Place,North Bay,72354,213,337,550,,East Ocean Secondary,West Ocean Secondary,Central Terrace Secondary,Eastern Bayou Junior-Sec
Ishaan,Browning,754 Kendale Lakes Drive,Central Ridge,72389,205,345,550,,West Ocean Secondary,Northern River Senior,Eastern Ocean College,East Terrace Senior
Jakobe,Orr,214 Decatur Avenue,North Plateau,72350,203,347,550,,Eastern View High,Central Ridge Composite,West Bayou Senior,Main Terrace Senior
Ezekie,Long,515 Doral Street,East River,72378,333,216,549,,Eastern Valley Junior-Sec,East Ocean Senior,Western Delta Junior-Sec,Eastern Bayou Secondary
Gauge,Fernandez,407 Watsonville Lane,South Plateau,72360,318,231,549,,Southern Bayou Composite,Eastern Bayou Secondary,Northern Terrace High,Central Ridge Senior
Blake,Hughes,843 Longmont Lane,East Delta,72382,314,235,549,,South River Junior-Sec,Central Terrace Secondary,Main Plateau Composite,Central Bay Secondary
Derick,Beltran,424 Cedar Park Road,South Ocean,72361,288,261,549,,South Plateau Secondary,South Ocean High,Southern Bay College,Central Ridge Senior
Graham,Levine,42 Fishers Court,Southern Plateau,72420,277,272,549,,Southern Plateau Secondary,Eastern River Secondary,East Valley Senior,Northern View Junior-Sec
Dario,Strickland,377 Centreville Street,Southern River,72418,269,280,549,,Eastern River Secondary,Main River College,Western Delta Junior-Sec,Central Bay Secondary
Avery,Collins,367 Bartlett Place,North Bayou,72353,251,298,549,,South Delta Secondary,North Bay College,Northern Bay Senior,Southern Terrace Senior
Ruben,Cline,886 Apex Boulevard,West Delta,72372,237,312,549,,Eastern Plateau Senior,Main Bayou College,South View Composite,Northern Valley Senior
Sam,Hayden,749 The Villages Place,Western Bayou,72433,228,321,549,,Main Plateau Composite,South River High,North Terrace High,Main Delta Senior
Leonidas,Miller,911 Sammamish Road,Northern Terrace,72407,330,218,548,,Northern Valley Senior,Eastern Ocean Secondary,East Ocean Senior,Eastern Plateau Junior-Sec
Mathias,Walters,470 Loveland Street,Central Valley,72386,296,252,548,,Eastern Plateau Junior-Sec,Eastern Valley Junior-Sec,Main Terrace College,East Valley High
Ari,Rivera,762 Eastvale Boulevard,Western Bayou,72433,260,288,548,,East Bayou College,North Bay College,West Bayou Senior,South River High
Mathias,Fernandez,347 Bellflower Lane,East Terrace,72377,232,316,548,,Southern Ridge Secondary,Southern Ocean High,Northern Bay College,West Ocean Senior
Caso,Carroll,892 Baldwin Park Road,Southern Bayou,72423,222,326,548,,Eastern Bayou Secondary,Northern Terrace High,East-Central View Composite,Central-North View High
Mathias,Petersen,700 Lawton Lane,Main Delta,72402,215,333,548,,Main Bayou College,Western Delta Secondary,North Bayou High,Northern River Senior
Giovani,Roman,844 Duluth Drive,Western Ridge,72429,347,200,547,,Central-North View High,Northern View Junior-Sec,Main Bayou College,Northern Bay Senior
Bobby,Sloan,303 Williamsport Place,East Ocean,72381,346,201,547,,Southern Ridge Secondary,East Ocean Senior,Northern River Senior,Western Plateau Secondary
